Income,Expenses,Savings,Loan Amount,Credit Score,Investments,Age,Employment Status,Marital Status,Dependents
12611,4062,4834,8208,559,20350,54,Retired,Married,0
7150,4352,111,9971,836,32484,34,Employed,Single,2
12522,8141,3219,18333,499,8755,66,Retired,Single,1
14109,2441,714,8272,762,34321,34,Retired,Single,1
4446,8041,1401,3079,393,17651,50,Employed,Married,3
12632,8930,2924,8127,651,15203,51,Retired,Married,0
14936,2921,1381,9210,407,24519,40,Employed,Single,2
14036,7265,3127,15014,654,2240,47,Unemployed,Married,3
9468,1935,4908,15646,768,5159,44,Unemployed,Married,3
8790,2339,3011,18208,394,19873,68,Unemployed,Married,2
7175,5501,1208,3864,390,11780,26,Retired,Single,1
8080,6748,3125,10661,343,9661,37,Retired,Single,2
3864,6459,36,18897,755,37055,40,Retired,Single,1
9860,3150,1828,10322,683,29512,64,Retired,Single,4
11663,7328,3060,6710,322,19403,36,Employed,Single,0
9217,3761,3341,8516,322,43983,54,Unemployed,Married,2
8672,7394,3941,19874,533,43549,62,Employed,Single,3
4502,7778,809,14386,610,30549,21,Unemployed,Single,1
7684,5389,3072,13338,716,49719,30,Unemployed,Single,0
4410,8397,4118,15316,632,6313,55,Employed,Single,0
6770,2826,1526,10203,402,48815,29,Employed,Married,2
13097,7401,3519,4888,799,11252,26,Employed,Married,3
7659,4858,4891,11325,782,5317,32,Unemployed,Single,2
7001,3085,495,19088,488,43379,38,Employed,Married,3
14696,7145,4995,9386,759,26456,32,Retired,Single,4
6483,1888,424,15645,488,34606,66,Employed,Single,2
7562,4291,2747,6260,650,9461,22,Unemployed,Single,1
3598,4832,2065,11267,413,28945,22,Unemployed,Married,2
12183,2203,1982,15419,403,47690,42,Employed,Married,2
13124,7334,1468,13086,807,5827,41,Employed,Single,4
13976,4320,3800,2904,644,24371,54,Unemployed,Single,4
6041,9553,1233,11492,320,13903,48,Unemployed,Single,2
11160,6459,1797,1123,686,20887,63,Employed,Married,3
9391,2559,564,13430,508,29536,51,Retired,Single,4
10287,2801,3019,14999,782,31103,58,Retired,Single,4
3066,9196,1304,18654,772,15400,31,Retired,Married,3
11123,5799,132,19108,692,35843,44,Unemployed,Single,0
14590,7571,448,8121,815,15190,64,Retired,Married,4
5750,5612,1830,18642,487,19668,21,Retired,Single,4
11661,9381,2158,3646,645,32869,40,Employed,Married,3
12916,9901,3626,13173,651,48852,55,Employed,Single,3
9806,1998,849,7025,840,46301,63,Retired,Single,2
9429,8745,3962,12549,346,48491,22,Unemployed,Married,2
11123,3605,1480,14853,376,49032,44,Retired,Single,0
4631,6827,900,17655,642,48369,60,Employed,Married,0
9452,7130,4854,8989,490,9995,31,Employed,Single,0
3774,4706,1539,11326,842,48331,24,Employed,Married,1
14204,8637,1899,3463,335,29911,63,Retired,Single,3
9107,4069,2944,14388,723,45702,62,Unemployed,Married,4
10804,4128,4957,14075,650,46443,35,Retired,Married,3
13695,8264,3244,10547,487,7521,49,Employed,Single,3
12678,2567,514,4941,826,40123,19,Employed,Single,0
7019,3006,1591,16010,633,32514,58,Employed,Married,3
3929,4513,83,897,782,38539,60,Employed,Married,1
6012,8142,3742,8244,515,36464,37,Retired,Married,4
8024,5566,4893,605,457,46226,46,Retired,Single,0
9264,2447,2127,3677,540,47231,60,Unemployed,Married,2
10973,5889,1601,4547,595,6796,43,Employed,Married,4
12697,9643,4617,8652,761,34576,55,Retired,Married,2
7729,2671,1222,17158,344,44111,18,Retired,Single,2
10961,7614,4329,5256,794,4293,22,Employed,Single,3
14136,1671,1842,16333,474,43265,31,Retired,Single,4
5819,7182,2291,14730,645,4459,42,Employed,Married,1
9655,7356,1589,5156,355,19803,65,Unemployed,Married,3
4184,7709,2896,5773,640,5224,26,Employed,Single,2
11480,5077,4488,10886,407,8571,47,Employed,Single,4
9343,9880,8,15930,513,23747,36,Retired,Single,3
13003,5576,4708,3518,798,26772,69,Unemployed,Single,4
3527,1657,714,6775,696,15171,57,Unemployed,Married,0
3916,9277,1927,5378,849,49091,25,Retired,Single,1
12900,4217,109,13634,796,40519,33,Unemployed,Single,1
6574,9937,4929,6673,472,10717,67,Unemployed,Married,1
6319,4295,265,6444,404,16411,25,Employed,Married,2
